date, symbol, under, expiration, strike, put/call, bid, ask, price, volume, open interest, implied vol, delta, gamma, rho, theta, vega, nonstd
2015-01-05,SPY   150102C00120000,SPY,2015-01-02,120,C,84.76,85.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00125000,SPY,2015-01-02,125,C,79.76,80.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00130000,SPY,2015-01-02,130,C,74.76,75.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00135000,SPY,2015-01-02,135,C,69.76,70.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00140000,SPY,2015-01-02,140,C,64.76,65.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00145000,SPY,2015-01-02,145,C,59.76,60.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00150000,SPY,2015-01-02,150,C,54.76,55.12,55.23,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00155000,SPY,2015-01-02,155,C,49.76,50.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00160000,SPY,2015-01-02,160,C,44.76,45.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00165000,SPY,2015-01-02,165,C,39.76,40.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00170000,SPY,2015-01-02,170,C,34.76,35.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00175000,SPY,2015-01-02,175,C,29.76,30.12,24.92,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00180000,SPY,2015-01-02,180,C,24.76,25.12,20.08,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00185000,SPY,2015-01-02,185,C,19.76,20.12,18.63,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00190000,SPY,2015-01-02,190,C,14.76,15.12,15,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00191000,SPY,2015-01-02,191,C,13.76,14.12,17.15,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00192000,SPY,2015-01-02,192,C,12.76,13.12,0,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00193500,SPY,2015-01-02,193.5,C,11.26,11.62,11.62,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00194000,SPY,2015-01-02,194,C,10.76,11.12,10.6,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00194500,SPY,2015-01-02,194.5,C,10.26,10.62,7.71,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00195000,SPY,2015-01-02,195,C,9.76,10.11,9.82,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00195500,SPY,2015-01-02,195.5,C,9.26,9.62,10.4,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00196000,SPY,2015-01-02,196,C,8.76,9.12,11.35,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00196500,SPY,2015-01-02,196.5,C,8.26,8.62,10.77,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00197000,SPY,2015-01-02,197,C,7.76,8.12,9.37,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00197500,SPY,2015-01-02,197.5,C,7.26,7.62,8.13,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00198000,SPY,2015-01-02,198,C,6.76,7.12,7.69,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00198500,SPY,2015-01-02,198.5,C,6.26,6.62,6.47,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00199000,SPY,2015-01-02,199,C,5.76,6.12,6.15,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00199500,SPY,2015-01-02,199.5,C,5.3,5.61,7.88,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00200000,SPY,2015-01-02,200,C,4.8,5.11,5.09,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00200500,SPY,2015-01-02,200.5,C,4.3,4.61,4.25,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00201000,SPY,2015-01-02,201,C,3.8,4.11,3.83,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00201500,SPY,2015-01-02,201.5,C,3.3,3.61,3.72,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00202000,SPY,2015-01-02,202,C,2.8,3.11,2.95,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00202500,SPY,2015-01-02,202.5,C,2.3,2.61,2.2,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00203000,SPY,2015-01-02,203,C,1.8,2.11,2.59,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00203500,SPY,2015-01-02,203.5,C,1.3,1.61,1.61,0,0,0.113826,0,0,0,0,0,104
2015-01-05,SPY   150102C00204000,SPY,2015-01-02,204,C,0.8,1.11,1.05,0,0,0.113826,0,0,0,0,0,104
